Exchange ID,ticker,Name,Market Cap,Country,IPO Year,Sector,Industry
1,ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,359077094,United States,2012,Finance,Investment Managers
1,ARE,Alexandria Real Estate Equities Inc. Common Stock,32843143703,United States,,Consumer Services,Real Estate Investment Trusts
1,ARES,Ares Management Corporation Class A Common Stock,13464131425,,2014,Finance,Investment Managers
1,ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042,0,Bermuda,,Finance,Specialty Insurers
1,ARGO,Argo Group International Holdings Ltd.,1968215583,Bermuda,,Finance,Specialty Insurers
1,ARGO^A,Argo Group International Holdings Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 7.00% Resettable Fixed Rate Preference Share Series A,,Bermuda,,,
1,ARI,Apollo Commercial Real Estate Finance Inc,1877378285,United States,2009,Consumer Services,Real Estate Investment Trusts
1,ARIS,Aris Water Solutions Inc. Class A Common Stock,263258575,,2021,Public Utilities,Water Supply
1,ARL,American Realty Investors Inc. Common Stock,181713714,United States,,Consumer Services,Building operators
1,ARLO,Arlo Technologies Inc. Common Stock,761223645,United States,2018,Miscellaneous,Diversified Manufacture
1,ARMK,Aramark Common Stock,9168851093,,2013,Consumer Services,Restaurants
1,ARNC,Arconic Corporation Common Stock ,3328796312,,2020,Technology,Industrial Machinery/Components
1,AROC,Archrock Inc. Common Stock,1144590222,United States,,Energy,Oil & Gas Production
1,ARR,ARMOUR Residential REIT Inc.,902271632,United States,,Consumer Services,Real Estate Investment Trusts
1,ARR^C,ARMOUR Residential REIT Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share),,United States,,,
1,ARW,Arrow Electronics Inc. Common Stock,8812966831,United States,,Technology,Electronic Components
1,ASA,ASA  Gold and Precious Metals Limited,389463182,United States,,Basic Industries,Precious Metals
1,ASAI,Sendas Distribuidora S A ADS,3546679143,,2021,Consumer Services,Food Chains
1,ASAN,Asana Inc. Class A Common Stock,12660421776,,2020,Technology,Retail: Computer Software & Peripheral Equipment
1,ASAQ,Atlantic Street Acquisition Corp Class A Common Stock,307187500,United States,2020,,
1,ASB,Associated Banc-Corp Common Stock,3373670804,United States,,Finance,Major Banks
1,ASB^E,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock Series E,,United States,,,
1,ASB^F,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock Series F,,United States,,,
1,ASC,Ardmore Shipping Corporation Common Stock,139173730,,2013,Transportation,Marine Transportation
1,ASG,Liberty All-Star Growth Fund Inc.,463881456,United States,,Finance,Investment Managers
1,ASGI,Aberdeen Standard Global Infrastructure Income Fund Common Shares of Beneficial Interest,172048858,,2020,Finance,Investment Managers
1,ASGN,ASGN Incorporated Common Stock,6597944000,United States,1992,Technology,EDP Services
1,ASH,Ashland Global Holdings Inc. Common Stock,5969211196,United States,,Basic Industries,Specialty Chemicals
1,ASIX,AdvanSix Inc. Common Stock ,1317161122,United States,2016,Basic Industries,Major Chemicals
1,ASPN,Aspen Aerogels Inc. Common Stock,1845824884,United States,2014,Capital Goods,Wholesale Distributors
1,ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,5935800000,Mexico,,Transportation,Aerospace
1,ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) ,15929426383,,2018,Technology,Semiconductors
1,ASZ,Austerlitz Acquisition Corporation II Class A Ordinary Shares,1926085703,,2021,,
1,ATA,Americas Technology Acquisition Corp. Ordinary Shares,146305000,,2021,Finance,Business Services
1,ATAQ,Altimar Acquisition Corp. III Class A Ordinary Shares,189793125,,2021,,
1,ATC,Atotech Limited Common Shares,4828456634,,2021,Basic Industries,Major Chemicals
1,ATCO,Atlas Corp. Common Shares,3423525059,United Kingdom,,Transportation,Marine Transportation
1,ATCO^D,Atlas Corp. 7.95% Series D,,United Kingdom,,,
1,ATCO^H,Atlas Corp. 7.875% Series H,,United Kingdom,,,
1,ATCO^I,Atlas Corp. Series I Fixed-to-Floating ,,United Kingdom,,,
1,ATEN,A10 Networks Inc. Common Stock,1211329157,,2014,Technology,EDP Services
1,ATGE,Adtalem Global Education Inc. Common Stock,1500406700,United States,,Miscellaneous,Other Consumer Services
1,ATH,Athene Holding Ltd. Class A Common Shares,15367480129,Bermuda,2016,Finance,Life Insurance
1,ATH^A,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share Series A,,Bermuda,,,
1,ATH^B,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 5.625% Fixed Rate Perpetual Non- Cumulative Preference Share Series B par value $1.00 per share,,Bermuda,,,
1,ATH^C,Athene Holding Ltd. Depositary Shares each representing a 1/1000th Interest in a Share of 6.375% Fixed-Rate Reset Perpetual Non-Cumulative Preference Shares Series C,,Bermuda,,,
1,ATH^D,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 4.875% Fixed-Rate Perpetual Non-Cumulative Preference Share Series D,,Bermuda,,,
1,ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.,4068083864,,2013,Technology,EDP Services
1,ATHN,Athena Technology Acquisition Corp. Class A Common Stock,341296003,,2021,,
